Gene,log2FoldChange
EIF3I,0.24487579916331437
LCK,-5.324164177054349
HDAC1,-1.8882449305242834
MARCKSL1,-0.9552270544847835
BSDC1,-0.3310636700032549
ZBTB8OS,-0.5883252868505816
RBBP4,-0.43573951047314075
KIAA1522,2.772170242509264
YARS,-1.5128528783330997
S100PBP,-1.9086644293480264
RNF19B,-0.6237648755447809
AK2,1.7157036329830622
AZIN2,-0.18725855189195617
ZNF362,-2.3220670580754095
PHC2,0.07168382261703327
SMIM12,-0.4540396846708932
ZMYM6NB,0.29548064791620665
ZMYM6,-1.3683943260038973
ZMYM1,-0.9246612644673731
SFPQ,-1.067441811108701
ZMYM4,-0.624449424728261
KIAA0319L,-0.7329522364515872
NCDN,-1.6345540880742875
PSMB2,0.0986222689203004
C1orf216,-1.7589490658897473
AGO1,-1.2358408016618878
AGO3,-1.226311598736415
ADPRHL2,1.2863801123843972
TRAPPC3,0.02932206897525496
MAP7D1,-2.4114479738691603
THRAP3,-1.0925561141135833
SH3D21,2.6625843592691183
STK40,-2.088849447517904
LSM10,-1.9943848863621512
OSCP1,3.8001789553665195
MRPS15,0.2950032268835412
LINC01137,0.055919948825286815
ZC3H12A,-1.3441761335424705
MEAF6,-0.8301108504019707
SNIP1,-1.6679000275251599
GNL2,-0.6488228640765116
C1orf109,-0.2984358695799712
YRDC,-1.138825909772506
C1orf122,0.14963804773851969
MTF1,-1.5378364360726944
INPP5B,-1.8726519887852464
SF3A3,-0.7112642706499241
FHL3,-2.315079139707341
UTP11L,-0.8321267825658454
RRAGC,0.3499644901581314
RP5-864K19.4,-0.17706070020279865
MYCBP,-0.5419677503640064
AKIRIN1,-2.2958593131848413
NDUFS5,0.9797367092329383
MACF1,-1.8391951323126108
PABPC4,-0.4923800377428662
PPIE,-0.0620370840213438
TRIT1,0.12270173764570394
CAP1,-1.8855579175081434
PPT1,-1.7201028913496224
RLF,-0.6990224421303052
RP1-39G22.7,-0.24809759329606096
ZMPSTE24,-0.2789357026067302
SMAP2,-4.490177259968353
ZFP69,-2.1574475521160004
RP11-656D10.3,0.17343413707562885
EXO5,-1.700996329316665
ZNF684,-1.608708112767028
NFYC,-0.9813603904233166
CITED4,1.104952682991901
CTPS1,-1.0195846873141217
SCMH1,1.3878365628087883
HIVEP3,-2.6449953634396253
FOXJ3,0.77241065135144
PPCS,0.42446262253878764
CCDC30,2.598775915888308
PPIH,-0.5880739766332177
YBX1,0.04398159332652391
P3H1,-1.317521098815386
C1orf50,-0.46192466970889934
SVBP,-1.1394726427776865
ERMAP,-0.06959785340912003
RP11-342M1.3,0.6471337277437202
ZNF691,0.24008877883336904
SLC2A1,2.5206032491919115
SLC2A1-AS1,2.304915681041596
EBNA1BP2,1.0522566471356143
CDC20,-0.08050618800880369
