,Eigen,Degree,Between,Between Sub,RWR,RWR Sub
RHOD,0.01642953098360692,0.011309418625198799,0.0004171071499334868,1184.6716931820372,0.00034136220155383265,0.00040155306228593473
CTLA4,0.048360768217557505,0.023679095246509987,0.0007722945341083614,1733.1943100630378,0.0005922421521445061,0.0006377414267296739
PIK3CA,0.04643807724521562,0.03781586852800849,0.0027823698090653146,9432.436979883129,0.0010412596452235288,0.0011033351612115558
CSF1R,0.04112257879852266,0.023679095246509987,0.0013261472403371683,3055.1303276866197,0.0006226377379483826,0.0006650674610326391
STAT5B,0.05518363811647695,0.031100901219296696,0.0010207476853755337,2991.0634471468393,0.0007831889118214551,0.0007732645653077439
GRB2,0.05390848127876577,0.04099664251634565,0.003321690308538108,10772.10405944776,0.0011172170590533833,0.001221372894306391
CD86,0.03936457552900798,0.022618837250397598,0.00040912485014090626,979.4944875621945,0.0005576650322087833,0.0006216347508541858
NCAM1,0.041691301210682256,0.027743417564940802,0.001646753172166562,4634.347909377817,0.0007445353638118104,0.0008060010464739433
CD28,0.03838474965578949,0.01820109559992932,0.0002554182769052107,592.4715643511706,0.0004486091121486047,0.0004920980881330428
PRF1,0.021683110581154103,0.010602579961123874,0.0003633440433742545,969.288706544851,0.00029322038259501244,0.0003289934761368063
IL15,0.03288909665169657,0.01431348294751723,0.00010419341330352188,199.63931029777538,0.0003505917343434357,0.00033992667583537226
STAT5A,0.06082346334887812,0.03587206220180244,0.0017470587793281542,6401.358534022813,0.0009138936993685803,0.0009101057476289818
LY86,0.007681123191609437,0.007598515638805443,0.00011891574895826357,219.42689262885082,0.00021844082742511625,0.00020167792156212591
GZMA,0.009108750342865173,0.0056547093125993994,0.00012965795129695986,323.5303387301359,0.00017575104320051042,0.0002052695432501764
RHOG,0.013415642034427118,0.015373740943629617,0.0005393460393596262,2050.2095369637555,0.0004622717880183806,0.0005282999995259722
RAC3,0.015100791994926917,0.01289980561936738,0.0002583229639891909,963.684611016563,0.0003678764343838088,0.00042362501820337393
PIK3R2,0.021941884182082615,0.01837780526594805,0.000628609264290321,2518.194410053581,0.0005015551659798081,0.0005383686343882561
LTA,0.01455282600211163,0.013076515285386111,0.00016602050808775092,624.2798164092787,0.00035232245691094123,0.00036125134884775763
PLEK,0.03098718091236878,0.023855804912528717,0.0016797328690462399,4694.052337214891,0.000669956058901413,0.0007724747457105602
PLCG1,0.025118825987930492,0.019614772928079168,0.0010215528386248124,3284.844421350021,0.0005567363925147284,0.0005873250115808091
CD27,0.01560677772369659,0.00865877363491783,7.528388447562488e-05,154.96816294145853,0.00023124769102269546,0.000271050393558297
CARTPT,0.006745874153483737,0.00424103198444955,4.400948058968448e-05,48.047432847773614,0.00014085575815058632,0.00011522062775728214
KIR3DL1,0.0016969708115960865,0.002120515992224775,2.5996678921098458e-05,37.33092870983695,8.913063539732439e-05,0.00011331406528427814
KIR2DL4,0.002313504096742851,0.0024739353242622373,3.888112275942941e-05,69.75886151030905,0.00010080232200342754,0.0001312977126590574
S1PR4,0.018689757823245334,0.018024385933910585,0.0006653623576109272,1158.1528910916577,0.0004613383255308764,0.0005361614693021019
CCR8,0.013090431962419545,0.012016257289273724,7.674907583836618e-05,199.55633054715602,0.00030346843559598977,0.0003644389704259878
ITGB2,0.038430417060308066,0.03604877186782117,0.002136169051460748,5098.608438428333,0.0009483906930247943,0.001098056832876693
TREM1,0.01063458681623416,0.0056547093125993994,1.869790699285633e-05,17.213800053800263,0.00015590982072471673,0.00018441954688436924
CYTH4,0.0036491800689723956,0.00424103198444955,0.00017069848394352232,326.5561174803289,0.00015660209016596748,0.0002009351622699338
TYROBP,0.02745572403166523,0.024209224244566178,0.0017905883583650539,4181.088486288424,0.0006917769973779755,0.0008277034224350894
FCER1G,0.012626465322786933,0.01289980561936738,0.00038482631879173005,1090.2125719551025,0.00035589573396620526,0.0004198242786680981
LCP2,0.02304574832888821,0.01996819226011663,0.0009830976334716062,2016.7363423589625,0.0005538401203658712,0.0006254602240364104
RHOV,0.005552396629438875,0.005477999646580668,3.5207536122346126e-05,97.06923864941564,0.0001719978794750501,0.0002107429541377014
RHOQ,0.007088172666163896,0.007598515638805443,0.00010509699595510224,396.479566460556,0.00023339766602873966,0.0002860780232458593
PIK3R3,0.01827597988543405,0.014666902279554693,0.0003285734237209736,1012.3003050624632,0.00039870028319845594,0.00042247502535883624
RHOF,0.007412508142808283,0.006184838310655593,8.758574435734046e-05,256.2854198641993,0.00019652840937461156,0.00022812046231930678
PIK3CB,0.02056491614801722,0.01608057960770454,0.00040033942416683094,1299.85249909044,0.0004406750887490876,0.00046544018057182335
HCLS1,0.007877149709832052,0.008305354302880368,0.00041215786825395497,599.0365486010708,0.00026875783536252454,0.00030637540193434665
RHOBTB1,0.0068991028268305795,0.006184838310655593,0.00010844625836185727,172.08467199149845,0.00019320952165202405,0.0002312447860507529
RHOU,0.009114333397893108,0.0074218059727867115,7.848275704586855e-05,277.5697327004278,0.00022122357983251468,0.0002698164601650344
TAGAP,0.004631064490520045,0.006361547976674324,0.000213059720219467,219.62772622361462,0.00021340258612988054,0.00019357610514264052
FCGR3A,0.009501524314576133,0.011132708959180067,0.0002987109681722387,464.6689552341188,0.0003274503840804553,0.0003728051558167828
ARHGAP30,0.003981248150454793,0.0035341933203746245,5.241949456516951e-05,174.0571238551062,0.00012465301054910175,0.00010637989843215592
FGR,0.021164489850170484,0.013783353949461036,0.0005420186311731715,2283.5131587854085,0.00038203768688526037,0.0004405256443982862
PIK3CD,0.013483258269636414,0.011839547623254993,0.00019336523549222845,714.7417769149148,0.0003324769626224146,0.00034775712157569924
PLXNA1,0.0058797186004868034,0.004594451316487012,9.6143828157733e-05,152.1016645578756,0.00016050805360333815,0.00020433444258401636
RHOBTB2,0.01242068371126922,0.012369676621311186,0.0003428111716747716,1378.2992072188238,0.0003677499239864465,0.00042441529407670166
PIK3R1,0.042793632991937836,0.03269128821346528,0.0016844459475353157,6979.709404808461,0.0008640285028108588,0.0009618254932965765
