,Eigen,Degree,Between,Between Sub,RWR,RWR Sub,eigen_pvalue,degree_pvalue,between_pvalue,betweensub_pvalue,rwr_pvalue,rwrsub_pvalue
FSCN2,3.0019374230714788e-05,0.0007068386640749,1.420791895964058e-06,2.2541020474550377,5.8941522316851287e-05,4.024334493889536e-05,0.9974531802120141,0.7985865724381626,0.7901121908127209,0.7928210247349823,0.7039922261484098,0.69076925795053
IMPG2,2.3008408965404728e-05,0.0005301289980561,7.920178551338871e-07,1.257884901342621,5.110942364721317e-05,2.997385684515972e-05,0.9984943462897526,0.8802120141342756,0.8353397526501767,0.8324514134275618,0.7193339222614841,0.7056927561837456
GUCY2F,0.0005098721085364,0.0012369676621311,8.226839069953871e-05,273.6880334574761,7.90061248097056e-05,0.0001075757940708,0.8352265017667845,0.653356890459364,0.3262462897526502,0.27543339222614843,0.6039689045936396,0.5239840989399294
GUCA1B,2.4351327222862323e-05,0.0007068386640749,4.6509792607488455e-06,7.634947935269837,6.275429568017199e-05,9.47792345497953e-05,0.9983127208480566,0.7985865724381626,0.6830666077738516,0.6932530035335689,0.6980729681978799,0.5455157243816254
GUCY2D,0.0005005827626396,0.0012369676621311,7.99718257100903e-05,284.37791629879047,8.03103497969137e-05,0.0001094846307446,0.8382819787985866,0.653356890459364,0.3299786219081272,0.27078727915194345,0.5946655477031803,0.517893816254417
PDE6A,0.0006250261327179,0.0010602579961123,2.77827399391606e-05,72.85284007301503,6.60783148049595e-05,9.799154229101952e-05,0.8000206713780919,0.6911660777385159,0.4710773851590106,0.4430203180212014,0.6934424028268551,0.5386650176678445
PDE6G,2.3008408965404728e-05,0.0005301289980561,7.920178551338871e-07,1.257884901342621,5.110942364721317e-05,8.066665846732937e-05,0.9984943462897526,0.8802120141342756,0.8353397526501767,0.8324514134275618,0.7193339222614841,0.618093109540636
C2orf71,2.3008408965404728e-05,0.0005301289980561,7.920178551338871e-07,1.257884901342621,5.110942364721317e-05,8.066665846732937e-05,0.9984943462897526,0.8802120141342756,0.8353397526501767,0.8324514134275618,0.7193339222614841,0.618093109540636
RP1L1,1.53360968614423e-05,0.0003534193320374,4.346244051654838e-07,0.6007952745803418,4.32133170745072e-05,7.07676213840084e-05,0.9993310954063604,1.0,0.8771321554770318,0.8741593639575972,0.7419572438162544,0.6609125441696113
GUCA1A,1.667901511889989e-05,0.0005301289980561,3.024896023242098e-06,4.70525175977222,5.4858264738517074e-05,8.488034103804051e-05,0.9992026501766784,0.8802120141342756,0.724534628975265,0.7354650176678446,0.7113727915194347,0.5851982332155478
CNGA1,2.4351327222862323e-05,0.0007068386640749,4.6509792607488455e-06,7.634947935269837,6.275429568017199e-05,9.47792345497953e-05,0.9983127208480566,0.7985865724381626,0.6830666077738516,0.6932530035335689,0.6980729681978799,0.5455157243816254
PDE6B,0.0006250261327179,0.0010602579961123,2.77827399391606e-05,72.85284007301503,6.60783148049595e-05,9.799154229101952e-05,0.8000206713780919,0.6911660777385159,0.4710773851590106,0.4430203180212014,0.6934424028268551,0.5386650176678445
PRCD,2.3008408965404728e-05,0.0005301289980561,7.920178551338871e-07,1.257884901342621,5.110942364721317e-05,8.066665846732937e-05,0.9984943462897526,0.8802120141342756,0.8353397526501767,0.8324514134275618,0.7193339222614841,0.618093109540636
GNAT1,0.0001932584472298,0.0005301289980561,4.817495725849848e-06,11.374806728327844,4.755084950359647e-05,7.595511176352484e-05,0.9507743816254417,0.8802120141342756,0.6795265017667844,0.6554473498233215,0.7282060070671378,0.6507503533568905
